"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.038188291E0,-5.343887329E-2,1.357676697E-1,9.787247314E0,9.788334821E0
2.048176292E0,-5.313949585E-2,1.342707825E-1,9.787846069E0,9.788911233E0
2.058163292E0,-6.032455444E-2,1.444496155E-1,9.793983307E0,9.795234237E0
2.068150291E0,-5.373825073E-2,1.460961914E-1,9.796228638E0,9.797465357E0
2.078138292E0,-5.403762817E-2,1.460961914E-1,9.789193268E0,9.790432523E0
2.088125292E0,-6.032455444E-2,1.368154907E-1,9.795180817E0,9.796322002E0
2.098112292E0,-5.418731689E-2,1.360670471E-1,9.785301361E0,9.786397357E0
2.108100292E0,-5.777984619E-2,1.405577087E-1,9.785750427E0,9.786930387E0
2.118087291E0,-6.032455444E-2,1.399589539E-1,9.798623657E0,9.799808832E0
2.128074292E0,-6.197113037E-2,1.371148682E-1,9.787995758E0,9.789152255E0
2.138062292E0,-5.613327026E-2,1.462458801E-1,9.794132996E0,9.795385645E0
2.148049291E0,-5.703140259E-2,1.440005493E-1,9.801617432E0,9.802841069E0
2.158036292E0,-5.239105225E-2,1.434017944E-1,9.793534241E0,9.794724183E0
2.168024292E0,-5.643264771E-2,1.366658020E-1,9.795929260E0,9.797045078E0
2.178011292E0,-5.882766724E-2,1.357676697E-1,9.797126770E0,9.798244052E0
2.187998292E0,-5.224136353E-2,1.420545959E-1,9.791438599E0,9.792608360E0
2.197986291E0,-6.421646118E-2,1.425036621E-1,9.790540466E0,9.791788073E0
2.207973292E0,-5.628295898E-2,1.369651794E-1,9.799970856E0,9.801089532E0
2.217960292E0,-5.598358154E-2,1.401086426E-1,9.784702606E0,9.785865812E0
2.227948291E0,-6.616241455E-2,1.384620667E-1,9.790241089E0,9.791443703E0
2.237935292E0,-6.002517700E-2,1.451980591E-1,9.791737976E0,9.792998422E0
2.247922292E0,-5.882766724E-2,1.390608215E-1,9.792187042E0,9.793351095E0
2.257910292E0,-5.478607178E-2,1.516346741E-1,9.788594513E0,9.789922223E0
2.267897292E0,-5.763015747E-2,1.404080200E-1,9.795031128E0,9.796206942E0
2.277884291E0,-5.972579956E-2,1.363664246E-1,9.793234863E0,9.794366343E0
2.287872292E0,-5.748046875E-2,1.472937012E-1,9.788594513E0,9.789871397E0
2.297859292E0,-5.733078003E-2,1.532812500E-1,9.788893890E0,9.790261772E0
2.307846291E0,-5.703140259E-2,1.440005493E-1,9.787546692E0,9.788772088E0
2.317834292E0,-6.077362061E-2,1.426533508E-1,9.789492645E0,9.790720590E0
2.327821292E0,-6.271957397E-2,1.374142456E-1,9.793833618E0,9.794998385E0
2.337808292E0,-5.748046875E-2,1.338217163E-1,9.793234863E0,9.794317809E0
2.347796292E0,-5.912704468E-2,1.404080200E-1,9.795031128E0,9.796215862E0
2.357783291E0,-6.436614990E-2,1.401086426E-1,9.800120544E0,9.801333385E0
2.367770292E0,-5.897735596E-2,1.350192261E-1,9.789792023E0,9.790900692E0
2.377758292E0,-5.328918457E-2,1.495390320E-1,9.797276459E0,9.798562531E0
2.387745291E0,-6.271957397E-2,1.404080200E-1,9.791887665E0,9.793095129E0
2.397732292E0,-6.541397095E-2,1.444496155E-1,9.787846069E0,9.789130470E0
2.407720292E0,-5.807922363E-2,1.393601990E-1,9.796677704E0,9.797841012E0
2.417707292E0,-5.942642212E-2,1.465452576E-1,9.783505096E0,9.784783032E0
2.427694292E0,-6.331832886E-2,1.341210938E-1,9.799821167E0,9.800943454E0
2.437682291E0,-5.284011841E-2,1.402583313E-1,9.790839844E0,9.791986996E0
2.447669292E0,-5.777984619E-2,1.437011719E-1,9.787397003E0,9.788622407E0
2.457656292E0,-5.867797852E-2,1.435514832E-1,9.793983307E0,9.795211031E0
2.467644291E0,-5.942642212E-2,1.457968140E-1,9.787397003E0,9.788663254E0
2.477631292E0,-5.628295898E-2,1.375639343E-1,9.786349182E0,9.787477812E0
2.487618292E0,-6.256988525E-2,1.411564636E-1,9.798473969E0,9.799690416E0
2.497606292E0,-6.242019653E-2,1.417552185E-1,9.798174591E0,9.799398764E0
2.507593292E0,-6.017486572E-2,1.404080200E-1,9.805209961E0,9.806399839E0
2.517580291E0,-5.718109131E-2,1.395098877E-1,9.796827393E0,9.797987530E0
2.527568292E0,-5.643264771E-2,1.423539734E-1,9.790690155E0,9.791887612E0
2.537555292E0,-6.002517700E-2,1.410067749E-1,9.785451050E0,9.786651020E0
2.547542291E0,-5.209167480E-2,1.345701599E-1,9.791288910E0,9.792352179E0
2.557530292E0,-4.909790039E-2,1.456471252E-1,9.793983307E0,9.795189263E0
2.567517292E0,-5.239105225E-2,1.468446350E-1,9.792336731E0,9.793577836E0
2.577504292E0,-4.879852295E-2,1.402583313E-1,9.794432373E0,9.795558136E0
